iter	Passed	Remaining
0	3	333
1	5	270
2	10	335
3	15	381
4	18	352
5	21	331
6	23	315
7	26	303
8	29	298
9	33	304
10	36	296
11	39	291
12	42	285
13	44	274
14	47	267
15	49	261
16	52	257
17	57	260
18	61	260
19	64	257
20	68	256
21	93	330
22	109	367
23	113	358
24	120	360
25	122	349
26	125	338
27	135	348
28	141	346
29	147	344
30	150	335
31	154	327
32	158	320
33	161	314
34	165	307
35	167	297
36	170	289
37	172	281
38	175	274
39	179	269
40	181	261
41	185	255
42	187	249
43	190	241
44	192	235
45	195	229
46	199	225
47	202	219
48	205	213
49	208	208
50	211	203
51	214	198
52	217	192
53	220	187
54	222	182
55	226	178
56	229	173
57	232	168
58	234	162
59	243	162
60	247	158
61	251	154
62	254	149
63	256	144
64	259	139
65	262	135
66	270	133
67	272	128
68	275	123
69	279	119
70	287	117
71	289	112
72	292	108
73	294	103
74	297	99
75	299	94
76	302	90
77	304	85
78	305	81
79	308	77
80	309	72
81	312	68
82	315	64
83	318	60
84	321	56
85	324	52
86	327	48
87	329	44
88	331	41
89	334	37
90	336	33
91	339	29
92	341	25
93	344	21
94	349	18
95	353	14
96	355	11
97	361	7
98	364	3
99	366	0
