iter	RMSE
0	14.85444092
1	14.49745416
2	14.12889503
3	13.82076228
4	13.50198083
5	13.22152312
6	12.93489906
7	12.72010442
8	12.40315745
9	12.12127307
10	11.85223826
11	11.59035761
12	11.32264975
13	11.08285055
14	10.87364393
15	10.66576581
16	10.49148613
17	10.29954048
18	10.08365302
19	9.887170886
20	9.693706369
21	9.531484741
22	9.364322656
23	9.196277847
24	9.049645738
25	8.901974578
26	8.744604599
27	8.607740073
28	8.468559066
29	8.333945623
30	8.202286907
31	8.080852966
32	7.971636278
33	7.859974905
34	7.757457409
35	7.654761158
36	7.565781227
37	7.466670151
38	7.374010345
39	7.295814583
40	7.220785909
41	7.146240703
42	7.06078219
43	6.983399339
44	6.9129695
45	6.854359036
46	6.782630953
47	6.71688768
48	6.656260488
49	6.597255978
50	6.54536951
51	6.494314099
52	6.44410601
53	6.392667497
54	6.341873125
55	6.299583519
56	6.258463935
57	6.22416794
58	6.187037613
59	6.150328802
60	6.113082122
61	6.076601446
62	6.038550835
63	6.008597096
64	5.978319809
65	5.951841636
66	5.922248598
67	5.898225635
68	5.873960733
69	5.845039529
70	5.821000656
71	5.793179246
72	5.773903954
73	5.751846164
74	5.728766327
75	5.702533215
76	5.676936656
77	5.653658116
78	5.635156553
79	5.615513173
80	5.599938409
81	5.58316281
82	5.565544595
83	5.550561864
84	5.530287666
85	5.517366167
86	5.506294443
87	5.496683426
88	5.483727877
89	5.469761081
90	5.455414319
91	5.437370411
92	5.426226117
93	5.41234446
94	5.396814549
95	5.381132264
96	5.376796365
97	5.366558868
98	5.358044486
99	5.349110078
100	5.335670828
101	5.324312797
102	5.311532727
103	5.301276211
104	5.289746247
105	5.279211647
106	5.270969902
107	5.264365633
108	5.255277816
109	5.243273837
110	5.234830246
111	5.227578955
112	5.220820003
113	5.213277682
114	5.200057304
115	5.195195343
116	5.189804297
117	5.183053963
118	5.175374145
119	5.165929473
120	5.158699543
121	5.15333684
122	5.147212724
123	5.140941377
124	5.135084679
125	5.124242517
126	5.120758316
127	5.116118175
128	5.112712399
129	5.105564653
130	5.099955179
131	5.093107902
132	5.085500863
133	5.078912305
134	5.069981618
135	5.065408911
136	5.060394632
137	5.056139568
138	5.05147212
139	5.047088222
140	5.042272635
141	5.035645063
142	5.028131975
143	5.02354264
144	5.018926117
145	5.01082241
146	5.001695404
147	4.999487439
148	4.993035771
