iter	Passed	Remaining
0	2	2113
1	4	2048
2	6	2255
3	9	2424
4	15	3052
5	17	2889
6	19	2750
7	20	2570
8	25	2784
9	26	2657
10	28	2555
11	30	2488
12	32	2483
13	34	2454
14	37	2465
15	40	2480
16	42	2439
17	43	2393
18	45	2356
19	47	2334
20	69	3258
21	72	3202
22	74	3152
23	76	3102
24	78	3053
25	83	3139
26	85	3097
27	87	3041
28	89	2989
29	91	2945
30	92	2899
31	94	2867
32	97	2857
33	99	2833
34	101	2807
35	105	2831
36	108	2811
37	110	2791
38	114	2811
39	116	2786
40	119	2800
41	125	2867
42	131	2920
43	134	2916
44	137	2909
45	140	2903
46	144	2930
47	146	2914
48	149	2893
49	151	2872
50	153	2851
51	156	2852
52	159	2844
53	161	2821
54	166	2852
55	171	2893
56	174	2890
57	176	2872
58	179	2859
59	181	2835
60	182	2815
61	186	2827
62	190	2826
63	192	2812
64	194	2794
65	195	2771
66	198	2757
67	201	2764
68	205	2772
69	207	2756
70	209	2740
71	211	2725
72	215	2739
73	219	2743
74	220	2725
75	222	2707
76	224	2691
77	226	2679
78	229	2677
79	231	2667
80	233	2651
81	235	2639
82	237	2624
83	239	2611
84	242	2609
85	245	2613
86	248	2602
87	249	2585
88	251	2573
89	253	2560
90	257	2567
91	259	2559
92	261	2547
93	263	2536
94	265	2526
95	267	2515
96	268	2500
97	272	2511
98	276	2515
99	278	2505
100	281	2501
101	283	2497
102	286	2492
103	288	2484
104	290	2477
105	293	2474
106	296	2474
107	301	2487
108	303	2480
109	305	2473
110	308	2466
111	310	2460
112	312	2454
113	316	2458
114	319	2456
115	321	2451
116	323	2441
117	325	2432
118	327	2422
119	329	2415
120	332	2412
121	333	2402
122	336	2401
123	339	2398
124	341	2392
125	349	2425
126	352	2426
127	354	2417
128	356	2408
129	361	2421
130	363	2413
131	365	2405
132	368	2403
133	370	2394
134	372	2383
135	375	2382
136	377	2379
137	380	2373
138	382	2367
139	384	2361
140	387	2363
141	391	2363
142	393	2358
143	395	2350
144	397	2341
145	398	2333
146	404	2346
147	406	2341
148	409	2336
149	410	2328
150	412	2321
151	414	2313
152	419	2321
153	421	2316
154	423	2309
155	425	2302
156	428	2303
157	433	2309
158	435	2305
159	437	2298
160	440	2295
161	443	2291
162	450	2311
163	453	2311
164	454	2302
165	463	2326
166	465	2321
167	467	2314
168	469	2309
169	471	2304
170	478	2319
171	481	2317
172	483	2313
173	485	2306
174	489	2305
175	492	2307
176	494	2299
177	496	2292
178	498	2288
179	501	2286
180	506	2289
181	508	2284
182	511	2285
183	515	2284
184	519	2287
185	521	2282
186	523	2274
187	524	2267
188	526	2261
189	528	2255
190	530	2247
191	533	2245
192	537	2248
193	543	2257
194	545	2251
195	547	2246
196	551	2246
197	553	2242
198	555	2236
199	557	2229
200	559	2224
201	562	2221
202	566	2224
203	569	2222
204	571	2217
205	573	2210
206	576	2207
207	580	2208
208	582	2205
209	586	2205
210	587	2198
211	589	2192
212	592	2190
213	595	2187
214	597	2180
215	598	2173
216	600	2167
217	602	2162
218	608	2171
219	609	2162
220	612	2158
221	614	2153
222	616	2147
223	618	2141
224	621	2141
225	626	2144
226	628	2138
227	629	2132
228	631	2127
229	634	2123
230	636	2120
231	639	2117
232	641	2113
233	644	2109
234	646	2105
235	652	2111
236	655	2109
237	656	2103
